Question Number,Name,Tags,Time,总结,Complexity,Link
139,Word Break,记忆化搜索,具体有些细节忘记了,记忆化：在搜索过的切片处进行标记，如果再次搜索到，直接return false,,https://leetcode.com/problems/word-break/description/
377,Combination Sum IV,DP,"二维dp求出来是错的，因为二维dp是真正意义上求combination的个数

    public int combinationSum4(int[] nums, int target) {
        int n = nums.length;
        int[][] dp = new int[target + 1][n + 1];
        for (int i = 0; i <= n; i++) dp[0][i] = 1;
        for (int i = 1; i <= target; i++) {
            for (int j = 1; j <= n; j++) {
                int currNum = nums[j - 1];
                if (currNum > i) dp[i][j] = dp[i][j - 1];
                else dp[i][j] = dp[i][j - 1] + dp[i - currNum][j];
            }
        }
        return dp[target][n];
    }

这道题其实是求permutation的个数

例如[1,2] [2,1]可以算成两个

只能用一维dp

public int combinationSum4(int[] nums, int target) {
      int[] dp = new int[target + 1];
      dp[0] = 1;
      for (int i = 1; i <= target; i++) {
         for (int j = 0; j < nums.length; j++) {
             int currNum = nums[j];
             if (i >= currNum) {
                dp[i] += dp[i - currNum];
             } 
         }
      }
   return dp[target];
}","• 有没有二维dp的做法？
我一开始以为是0-1背包题，套模板写了个二维dp表，然后发现不对。这nm是求组合，这dp怎么更新？后来卡住了就去看了题解，发现清一色的一位表。思考了一会儿得出了结论：不存在二维解法。
因为排列与组合的不同在于累加。换句话说，组合的答案其实是所有可能的排列加在一起。也就是说，其实这里的一位dp并不是什么二维dp两行间的存储优化（上下降纬），而是二维dp中一列的求和，是左右的降纬。

• 为什么要把target循环放在外面？
结合上一个问题，既然二维dp被压缩成从左到右的一纬dp，那么我们更新的顺序也发生了变化。我们首先要对target=0，计算出所有对应nums（即二维表中的行）的结果，并求和，再依次计算target=1， target=2....的求和。即，从左到右更新一维dp表，而不是传统背包题从上到下（宏观上）更新dp表。因此需要修改循环叠加方式。

• 这题真的是一道背包题吗？
个人认为此类求排序结果的“背包题”严格意义上来说不是背包题的范畴。 相反，它更像一个普通的动态规划题。如果我们把对背包题的知识全部放空，单纯把这题看做一个规模由大缩小，通过分割重复子问题来解决宏问题的考题，反而更容易把转移方程想出来。现在返过去重新审视这题，其实过分执着于背包模板，也是导致我一开始走了二维dp歪路的原因之一。","Time: O(n^2), Space: O(n)",https://leetcode.com/problems/combination-sum-iv/description/
198,House Robber,DP,15mins,"考虑 edge case 与 base condition的设计

dp[0] = nums[0];
dp[1] = Math.max(nums[0], nums[1]);

dp[i] = Math.max(nums[i] + dp[i - 2], dp[i - 1]);","Time: O(n), Space: O(n)",https://leetcode.com/problems/house-robber/description/
213,House Robber II,DP,15mins,"分成两种情况进行讨论 → 利用house robber1，再利用start对坐标进行移位

return Math.max(robHelper(nums, 0), robHelper(nums, 1))","Time: O(n), Space: O(n)",
91,Decode Ways,DP,"这道题因为有范围1-26，其实就规定了切片的长度，要么是1，要么是2

以i为segment结束的位置，代表有多少decode的方案数量

// base condition
dp[0] = 1;
dp[1] = 1;

自底而上","public int numDecodings(String s) {
   if (s == null || s.length() == 0 || s.charAt(0) == '0') return 0;
   int n = s.length();
   int[] dp = new int[n + 1];
   // base condition
   dp[0] = 1;
   dp[1] = 1;
   // i 代表结束位置
   for (int i = 2; i <= n; i++) {
       // 片段长度为2
       if (s.charAt(i - 2) == '1' || s.charAt(i - 2) == '2' && s.charAt(i - 1) <= '6')
             dp[i] += dp[i - 2];
       // 片段长度为1
       if (s.charAt(i - 1) != '0')
             dp[i] += dp[i - 1];
    }
   return dp[n];
}","Time: O(n), Space: O(n)",https://leetcode.com/problems/decode-ways/description/
62,Unique Paths,DP,2mins,"初始化base condition

dp[i][j] = dp[i - 1][j] + dp[i][j - 1];",,https://leetcode.com/problems/unique-paths/description/
55,Jump Game,Greedy,"8mins

维护一个boundary变量和跳跃最远距离

boundary是前一次跳跃的最远距离

maxLen是这一轮跳跃的最远距离","public boolean canJump(int[] nums) {
   // edge case
   if (nums == null || nums.length == 0) return false;
   if (nums.length == 1) return true;
   int boundary = 0;
   int maxLen = 0;
   for (int i = 0; i <= boundary; i++) {
         maxLen = Math.max(maxLen, i + nums[i]);
         if (i == boundary) {
             boundary = maxLen;
          }
         if (boundary >= nums.length - 1) {
              return true;
          }
       }
  return false;
}","Time: O(n), Space: O(1)",https://leetcode.com/problems/jump-game/description/
45,Jump Game II,Greedy,在jump game中添加steps,"public int jump(int[] nums) {
     // edge case
    if (nums == null || nums.length < 2) return 0;
    int boundary = 0, maxLen = 0, steps = 0;
    for (int i = 0; i <= boundary; i++) {
         maxLen = Math.max(maxLen, i + nums[i]);
         if (i == boundary) {
             boundary = maxLen;
             steps++;
          }
         if (boundary >= nums.length - 1) {
             return steps;
          }
      }
    return -1;
}",,
207,Course Schedule,"BFS, Graph",20mins,"用map分别构造入度表和图

Map<Integer, List<Integer>> graph = new HashMap<>();
Map<Integer, Integer> indegree = new HashMap<>();

再使用bfs进行topological sort",,https://leetcode.com/problems/course-schedule/
200,Number of Islands,DFS,5mins,经典dfs的使用,,https://leetcode.com/problems/number-of-islands/description/
128,Longest Consecutive Sequence,"Array, HashSet",8mins,空间换时间，利用set，使得时间复杂度为o(n),"Time: O(n), Space: O(n)",https://leetcode.com/problems/longest-consecutive-sequence/
261,Graph Valid Tree,Union-Find,10mins,"牢记uf class模版

if (uf.isConnected(start, end)) return false;
return uf.getGroups() == 1;",,https://leetcode.com/problems/graph-valid-tree/description/
417,Pacific Atlantic Water Flow,DFS,15mins,从四条边开始dfs，需要用两个arr来分别记录Pacific与Atlantic能flow到的位置,"Time: O(mn), Space: O(mn)",https://leetcode.com/problems/pacific-atlantic-water-flow/
323,Number of Connected Components in an Undirected Graph,Union-Find,10mins,"public int find(int x) {
    if (x != parents[x]) {
       parents = find(parents[x]);
    }
    return parents[x];
}

public void union(int x, int y) {
      int rootX = find(x), rootY = find(y);
      if (rootX == rootY) return;
      groups--;
      parents[rootX] = rootY;
}",,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/description/
133,Clone Graph,BFS,Forgot some details,"需要一个map来记录已经copy过的node

一个queue来进行bfs

while (!bfs.isEmpty()) {
     Node curr = bfs.poll();
     for (Node neighbor : curr.neighbors) {
         if (!copy.containsKey(neighbor)) {
               copy.put(neighbor, new Node(neighbor.val, new ArrayList<>()));
               bfs.offer(neighbor);
          }
          copy.get(curr).neighbors.add(copy.get(neighbor));
       }
}","• Time Complexity : O(N+M), where N is a number of nodes (vertices) and M is a number of edges.

• Space Complexity : O(N). This space is occupied by the copy dictionary and in addition to that, space would also be occupied by the queue since we are adopting the BFS approach here. The space occupied by the queue would be equal to O(W) where W is the width of the graph. Overall, the space complexity would be O(N).",https://leetcode.com/problems/clone-graph/description/
269,Alien Dictionary,"BFS, Graph","30mins → edge case handle!

需要复习，查看代码细节",这道题的本质和course schedule是一致的,,https://leetcode.com/problems/alien-dictionary/description/
57,Insert Interval,"Double Pointer, Interval",15mins,"使用while循环，newInterval逐步与已经排好序的intervals进行比较，merge

",,https://leetcode.com/problems/insert-interval/description/
56,Merge Intervals,"Double Pointer, Interval",10mins,"自定义排序 Arrays.sort(intervals, (n1, n2) -> n1[0] - n2[0]);

用linkedlist更加的方便 

维护一个right变量","Time: O(nlogn)
Space: O(nlogn)",https://leetcode.com/problems/merge-intervals/description/
435,Non-overlapping Intervals,"Greedy, Interval",10mins,"是56的变体

这道题的核心思想：那么当我们发现需要merge两个interval的时候，应该把右边界跨度最小的保留，最大的remove掉，这是一个贪心思想 →保证最优子结构 →最后remove的数量最少","Time: O(nlogn)
Space: O(nlogn)",https://leetcode.com/problems/non-overlapping-intervals/description/
252,Meeting Rooms,"Double Pointer, Interval",5mins,和56一样，维护right,"Time: O(nlogn)
Space: O(nlogn)",https://leetcode.com/problems/meeting-rooms/description/
253,Meeting Rooms II,"PriorityQueue, Sort",10mins,放入end，建立最小堆， pq的size就是所需要的room数量,"Time: O(nlogn)
Space: O(nlogn)",https://leetcode.com/problems/meeting-rooms-ii/description/
206,Reverse Linked List,"LinkedList, Recursion",5mins,"迭代和递归都要会

public ListNode reverseList(ListNode head) {
    if (head == null || head.next == null) {
          return head;
     }
     ListNode curr = reverseList(head.next);
     head.next.next = head;
     head.next = null;
     return curr;
}


public ListNode reverseList(ListNode head) {
   ListNode prev = null, temp = null;
   while (head != null) {
        temp = head.next;
        head.next = prev;
        prev = head;
        head = temp;
    }
   return prev;
}","Time: O(n), Space: O(1) → O(n)",https://leetcode.com/problems/reverse-linked-list/description/
141,Linked List Cycle,"Double Pointer, LinkedList",2mins,使用快慢指针,"Time: O(n), Space: O(1)",https://leetcode.com/problems/linked-list-cycle/
21,Merge Two Sorted Lists,"Double Pointer, LinkedList",4mins,双指针进行比较,"Time: O(m + n), Space: O(1)",https://leetcode.com/problems/merge-two-sorted-lists/description/
23,Merge k Sorted Lists,"LinkedList, PriorityQueue",4mins,建立最小堆，把不为null放入pq，使用dummy，curr得到新的list,"• Time complexity: O(Nlogk) where k is the number of linked lists.
    ◦ The comparison cost will be reduced to O(logk) for every pop and insertion to priority queue. But finding the node with the smallest value just costs O(1) time.
    ◦ There are N nodes in the final linked list.

• Space complexity :
    ◦ O(n) Creating a new linked list costs O(n) space.
    ◦ O(k) The code above present applies in-place method which cost O(1) space. And the priority queue (often implemented with heaps) costs O(k) space (it's far less than N in most situations).",https://leetcode.com/problems/merge-k-sorted-lists/description/
19,Remove Nth Node From End of List,"Double Pointer, LinkedList",Forgot,"双指针求倒数第n个node的技巧

因为要删除倒数第n个，那么要找到倒数第n+1个，因此我们也需要一个dummynode，防止找不到n+1",One Pass,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description/
143,Reorder List,"LinkedList, Stack",Forgot,"存放在stack中的listnode，只要原本的结构没有改变就不会受影响

这个stack的用法比较巧妙，要把重组的逻辑理清楚

public void reorderList(ListNode head) {
     Deque<ListNode> stack = new ArrayDeque<>();
     ListNode p = head;
     while (p != null) {
         stack.push(p);
         p = p.next;
     }
     ListNode curr = head;
     // while (true)也是可以的，但是为了防止有edge case，例如head == null
     while (curr != null) {
     // 链表尾部的节点
     ListNode lastNode = stack.pop(); 
     ListNode next = curr.next; 
     if (lastNode == next || lastNode.next == next) { 
     // 结束条件，链表节点数为奇数(lastNode.next == next)或偶数 (lastNode == next) 时均适用
        lastNode.next = null;
        break;
      }
      curr.next = lastNode; 
      lastNode.next = next;
      curr = next; 
    }
}","Time: O(n), Space: O(n)",https://leetcode.com/problems/reorder-list/description/
73,Set Matrix Zeroes,Matrix,5mins,使用辅助数组进行记录,"Time: O(nm), Space: O(n + m)",https://leetcode.com/problems/set-matrix-zeroes/description/
54,Spiral Matrix,"DFS, Matrix",5mins,dfs的运用，需要visited防止重复访问，也需要一个keepUp变量来保持向上的方向,"Time: O(nm), Space: O(nm)",https://leetcode.com/problems/spiral-matrix/description/
48,Rotate Image,Matrix,5mins,先按照对角线swap，再按照中线swap,"Time: O(nn), Space: O(1)",https://leetcode.com/problems/rotate-image/description/
79,Word Search,Backtracking,10mins,本质就是dfs暴力搜索，但是有rollback，和还原状态,,https://leetcode.com/problems/word-search/description/
3,Longest Substring Without Repeating Characters,"SlidingWindow, String",10mins,"sliding window可以用于求subarray或者是substring

模版：扩大窗口，满足shrink condition 缩小窗口，maintain目标值","Time: O(n), Space: O(k)",https://leetcode.com/problems/longest-substring-without-repeating-characters/description/
,,,,,,
